country,Year,biomass_relative_to
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1901,0
King mackerel Southern Atlantic coast,1901,4.670.975
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1901,2.514.713
New Zealand snapper New Zealand SNA 1 east Northland,1901,2.506.125
Pacific halibut North Pacific,1901,0
Petrale sole Pacific Coast,1901,3.883.379
Red snapper Gulf of Mexico,1901,1.773.438
Rex sole Pacific Coast,1901,0
Sablefish Pacific Coast,1901,2.423.277
Sharpchin rockfish Pacific Coast,1901,0
Shortspine thornyhead Pacific Coast,1901,2.503.096
Spanish mackerel Gulf of Mexico,1901,383.983
Yellowtail rockfish Northern Pacific Coast,1901,0
American lobster Lobster Fishing Area 34,1902,0
American lobster Lobster Fishing Areas 35-38,1902,0
American lobster Southern Gulf of St. Lawrence,1902,0
Atlantic halibut Gulf of Maine / Georges Bank,1902,78.776
Black rockfish Oregon Coast,1902,2.491.784
Canary rockfish Pacific Coast,1902,2.499.666
Chilipepper Southern Pacific Coast,1902,2.432.624
China rockfish Central Pacific Coast,1902,2.503.846
China rockfish Northern Pacific Coast,1902,2.5
China rockfish Southern Pacific Coast,1902,2.5
Cowcod Southern California,1902,2.5
English sole Pacific Coast,1902,5.470.426
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1902,0
King mackerel Southern Atlantic coast,1902,4.670.975
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1902,2.506.548
New Zealand snapper New Zealand SNA 1 east Northland,1902,2.495.625
Pacific halibut North Pacific,1902,0
Petrale sole Pacific Coast,1902,387.143
Red snapper Gulf of Mexico,1902,1.742.188
Rex sole Pacific Coast,1902,0
Sablefish Pacific Coast,1902,2.423.277
Sharpchin rockfish Pacific Coast,1902,0
Shortspine thornyhead Pacific Coast,1902,2.503.096
Spanish mackerel Gulf of Mexico,1902,3.830.158
Yellowtail rockfish Northern Pacific Coast,1902,0
American lobster Lobster Fishing Area 34,1903,0
American lobster Lobster Fishing Areas 35-38,1903,0
American lobster Southern Gulf of St. Lawrence,1903,0
Atlantic halibut Gulf of Maine / Georges Bank,1903,8.102
Black rockfish Oregon Coast,1903,2.491.784
Canary rockfish Pacific Coast,1903,2.499.666
Chilipepper Southern Pacific Coast,1903,2.429.078
China rockfish Central Pacific Coast,1903,2.503.846
China rockfish Northern Pacific Coast,1903,2.5
China rockfish Southern Pacific Coast,1903,2.496.241
Cowcod Southern California,1903,2.483.871
English sole Pacific Coast,1903,5.470.426
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1903,0
King mackerel Southern Atlantic coast,1903,4.670.975
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1903,2.490.219
New Zealand snapper New Zealand SNA 1 east Northland,1903,2.485.124
Pacific halibut North Pacific,1903,0
Petrale sole Pacific Coast,1903,3.859.481
Red snapper Gulf of Mexico,1903,1.710.938
Rex sole Pacific Coast,1903,0
Sablefish Pacific Coast,1903,2.423.277
Sharpchin rockfish Pacific Coast,1903,0
Shortspine thornyhead Pacific Coast,1903,2.503.096
Spanish mackerel Gulf of Mexico,1903,3.810.813
Yellowtail rockfish Northern Pacific Coast,1903,0
American lobster Lobster Fishing Area 34,1904,0
American lobster Lobster Fishing Areas 35-38,1904,0
American lobster Southern Gulf of St. Lawrence,1904,0
Atlantic halibut Gulf of Maine / Georges Bank,1904,80.408
Black rockfish Oregon Coast,1904,2.491.784
Canary rockfish Pacific Coast,1904,2.499.666
Chilipepper Southern Pacific Coast,1904,2.425.532
China rockfish Central Pacific Coast,1904,2.503.846
China rockfish Northern Pacific Coast,1904,2.5
China rockfish Southern Pacific Coast,1904,2.492.481
Cowcod Southern California,1904,2.467.742
English sole Pacific Coast,1904,5.455.103
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1904,0
King mackerel Southern Atlantic coast,1904,4.670.975
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1904,2.473.889
New Zealand snapper New Zealand SNA 1 east Northland,1904,2.474.624
Pacific halibut North Pacific,1904,0
Petrale sole Pacific Coast,1904,3.859.481
Red snapper Gulf of Mexico,1904,1.6875
Rex sole Pacific Coast,1904,0
Sablefish Pacific Coast,1904,2.406.679
Sharpchin rockfish Pacific Coast,1904,0
Shortspine thornyhead Pacific Coast,1904,2.503.096
Spanish mackerel Gulf of Mexico,1904,3.801.141
Yellowtail rockfish Northern Pacific Coast,1904,0
American lobster Lobster Fishing Area 34,1905,0
American lobster Lobster Fishing Areas 35-38,1905,0
American lobster Southern Gulf of St. Lawrence,1905,0
Atlantic halibut Gulf of Maine / Georges Bank,1905,83.878
Black rockfish Oregon Coast,1905,2.491.784
Canary rockfish Pacific Coast,1905,2.499.666
Chilipepper Southern Pacific Coast,1905,241.844
China rockfish Central Pacific Coast,1905,2.503.846
China rockfish Northern Pacific Coast,1905,2.5
China rockfish Southern Pacific Coast,1905,2.488.722
Cowcod Southern California,1905,2.451.613
English sole Pacific Coast,1905,5.439.779
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1905,0
King mackerel Southern Atlantic coast,1905,4.670.975
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1905,245.756
New Zealand snapper New Zealand SNA 1 east Northland,1905,2.464.123
Orange roughy New Zealand Mid East Coast,1905,2.857.143
Pacific halibut North Pacific,1905,0
Petrale sole Pacific Coast,1905,3.847.533
Red snapper Gulf of Mexico,1905,165.625
Rex sole Pacific Coast,1905,0
Sablefish Pacific Coast,1905,2.406.679
Sharpchin rockfish Pacific Coast,1905,0
Shortspine thornyhead Pacific Coast,1905,2.503.096
Spanish mackerel Gulf of Mexico,1905,3.781.797
Splitnose rockfish Pacific Coast,1905,3.106.796
Spurdog Northeast Atlantic,1905,1.710.619
Yellowtail rockfish Northern Pacific Coast,1905,0
American lobster Lobster Fishing Area 34,1906,0
American lobster Lobster Fishing Areas 35-38,1906,0
American lobster Southern Gulf of St. Lawrence,1906,0
Atlantic halibut Gulf of Maine / Georges Bank,1906,81.837
Black rockfish Oregon Coast,1906,2.491.784
Canary rockfish Pacific Coast,1906,2.499.666
Chilipepper Southern Pacific Coast,1906,2.414.894
China rockfish Central Pacific Coast,1906,2.503.846
China rockfish Northern Pacific Coast,1906,2.5
China rockfish Southern Pacific Coast,1906,2.481.203
Cowcod Southern California,1906,2.435.484
Dredge oyster Foveax Strait,1906,2.5
English sole Pacific Coast,1906,5.424.456
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1906,0
King mackerel Southern Atlantic coast,1906,4.670.975
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1906,2.441.231
New Zealand snapper New Zealand SNA 1 east Northland,1906,2.453.623
Orange roughy New Zealand Mid East Coast,1906,286.015
Pacific halibut North Pacific,1906,0
Petrale sole Pacific Coast,1906,3.835.584
Red snapper Gulf of Mexico,1906,1.632.813
Rex sole Pacific Coast,1906,0
Sablefish Pacific Coast,1906,2.406.679
Sharpchin rockfish Pacific Coast,1906,0
Shortspine thornyhead Pacific Coast,1906,2.503.096
Spanish mackerel Gulf of Mexico,1906,3.772.125
Splitnose rockfish Pacific Coast,1906,3.106.796
Spurdog Northeast Atlantic,1906,1.710.619
Yellowtail rockfish Northern Pacific Coast,1906,0
American lobster Lobster Fishing Area 34,1907,0
American lobster Lobster Fishing Areas 35-38,1907,0
American lobster Southern Gulf of St. Lawrence,1907,0
Atlantic halibut Gulf of Maine / Georges Bank,1907,80.408
Black rockfish Oregon Coast,1907,2.491.784
Canary rockfish Pacific Coast,1907,2.499.666
